t (YYYYMMDD_HH:MM:SS),T (°C),RH (%RH),P (kPa)
20240323_172900 , 18.34236571137444 , 32.39160488857651 , 949.97801884488
20240323_173000 , 18.367710107937455 , 32.39125905021487 , 949.9614152324938
20240323_173100 , 18.534983307734365 , 31.999590592733004 , 949.8301058176058
20240323_173200 , 18.6617056397954 , 31.70280664505181 , 949.746900501951
20240323_173300 , 18.742808027775027 , 31.44551756545116 , 949.785556834035
20240323_173400 , 18.712394623551518 , 31.574018147110166 , 949.848817276508
20240323_173500 , 18.874599567148834 , 31.393300723044625 , 949.9531678934801
20240323_173600 , 19.067218324751593 , 31.2007862587026 , 949.9941498095369
20240323_173700 , 19.23956177989021 , 31.002854431451148 , 950.0592104765877
20240323_173800 , 19.401767692063004 , 30.732440006339168 , 949.97384849267
20240323_173900 , 19.49807759342366 , 30.563407295567824 , 949.9535599472619
20240323_174000 , 19.60959445257322 , 30.483270085956843 , 949.9015061109146
20240323_174100 , 19.670421889662975 , 30.3426531560012 , 949.8558482742965
20240323_174200 , 19.716042494983412 , 30.25250728588938 , 949.8689944741756
20240323_174300 , 19.634939212934114 , 30.226148255231543 , 949.9118268456508
20240323_174400 , 19.50314653851092 , 30.401565350053783 , 949.8527252199491
20240323_174500 , 19.351078312494792 , 30.61068382932464 , 949.8448715196679
20240323_174600 , 19.193941420788178 , 30.808580822648143 , 949.8294487291066
20240323_174700 , 19.067218324751593 , 30.966800503263947 , 949.7776659968342
20240323_174800 , 18.910081938287476 , 31.22009805916819 , 949.7350414035012
20240323_174900 , 18.793497058097273 , 31.41687387183597 , 949.8333768160281
20240323_175000 , 18.676912331866333 , 31.630225808277647 , 949.8504925705384
20240323_175100 , 18.56539665083983 , 31.815553627571806 , 949.8209607576059
20240323_175200 , 18.469087766949087 , 31.994989907550437 , 949.8949626832931
20240323_175300 , 18.393054511776427 , 32.1240007836848 , 949.8637134796772
20240323_175400 , 18.367710107937455 , 32.25225289994444 , 949.9073544885254
20240323_175500 , 18.317021322087385 , 32.39195047330547 , 949.9405622265076
20240323_175600 , 18.266332565341145 , 32.51493342062229 , 950.0007807688623
20240323_175700 , 18.205506095662713 , 32.671360843494085 , 950.0189703106313
20240323_175800 , 18.170024007704342 , 32.77740506968833 , 950.1016311882931
20240323_175900 , 18.170024007704342 , 33.021904846917785 , 950.0205653639323
20240323_180000 , 18.12947306749993 , 33.216855006783554 , 950.0687024390166
20240323_180100 , 18.06357782939449 , 33.389823361101364 , 949.9712857177042
20240323_180200 , 17.99261378182564 , 33.70717261298684 , 950.0014509274599
20240323_180300 , 18.180161745665828 , 33.2829387085408 , 950.0355514939376
20240323_180400 , 18.524845529027516 , 32.87297961256844 , 950.0584627547543
20240323_180500 , 18.88473738601897 , 32.76266155415824 , 950.0222475697053
20240323_180600 , 19.19901034841314 , 32.01209233260356 , 950.0263957141553
20240323_180700 , 19.44738815855817 , 31.52339450567858 , 950.1495068721964
20240323_180800 , 19.65014607264311 , 31.375115217102703 , 950.1509554970688
20240323_180900 , 19.56904285112978 , 31.42663801984141 , 950.1395620744426
20240323_181000 , 19.38149193674326 , 31.691675090156917 , 950.2146570778646
20240323_181100 , 19.28011322999373 , 31.977455790297014 , 950.3356519884472
20240323_181200 , 19.168596787028946 , 32.29664491437336 , 950.360395091828
20240323_181300 , 19.26997536572162 , 32.6072078339181 , 950.374816701506
20240323_181400 , 19.18380356641137 , 32.914709762622174 , 950.4640575156213
20240323_181500 , 18.94049541061395 , 33.24621078654682 , 950.4022206893621
20240323_181600 , 18.75294583151117 , 33.6879355581666 , 950.4767079913031
20240323_181700 , 18.59074111143127 , 34.16788843537183 , 950.5344068757674
20240323_181800 , 18.499501087353565 , 34.368886223377466 , 950.5887719811286
20240323_181900 , 18.387985630426556 , 34.51439353845114 , 950.5320089143747
20240323_182000 , 18.29674581589643 , 34.68186721387885 , 950.5592577388006
20240323_182100 , 18.215643837698735 , 34.838070746679776 , 950.4933645871596
20240323_182200 , 18.15988627090701 , 34.87183885762388 , 950.6000559874363
20240323_182300 , 18.06864669211791 , 35.13906254454937 , 950.6272048490429
20240323_182400 , 18.038233520142967 , 35.11707786332184 , 950.5822123262873
20240323_182500 , 18.12947306749993 , 35.22190758179627 , 950.6361306189305
20240323_182600 , 18.164955139160156 , 35.07727394272233 , 950.6075539071727
20240323_182700 , 18.393054511776427 , 34.68661179253419 , 950.7557600642955
20240323_182800 , 18.74787692949758 , 34.12742595187867 , 950.7937822151017
20240323_182900 , 19.153390010265866 , 33.41628942081893 , 950.7438998800119
20240323_183000 , 19.44738815855817 , 32.89461434710288 , 950.8264384388148
20240323_183100 , 19.660283980570966 , 32.65209795008104 , 950.7618224954888
20240323_183200 , 19.53862916227081 , 32.91015794259481 , 950.7716912924537
20240323_183300 , 19.39669875279651 , 33.06800498779583 , 950.8598411541709
20240323_183400 , 19.351078312494792 , 33.13543106421724 , 950.7924264716149
20240323_183500 , 19.19901034841314 , 33.16514673117919 , 950.8113245748647
20240323_183600 , 18.849255025066668 , 33.53665509708142 , 950.9166358165613
20240323_183700 , 18.59074111143127 , 33.88431322559553 , 950.9670552885251
20240323_183800 , 18.423467805987457 , 34.12504026412652 , 950.9629454725791
20240323_183900 , 18.276470314362086 , 34.35426125327755 , 950.9617035425237
20240323_184000 , 18.195368354790844 , 34.45498662804284 , 950.9768243605009
20240323_184100 , 18.144679667893797 , 34.34990975099749 , 951.0099038002911
20240323_184200 , 18.078784418437863 , 34.57818748506581 , 951.1015179526142
20240323_184300 , 18.114266469725408 , 34.51679539937363 , 951.0729764781202
20240323_184400 , 18.033164659165777 , 34.55636841128362 , 951.1150450641068
20240323_184500 , 18.175092876539566 , 34.349632443525536 , 951.0278898742993
20240323_184600 , 18.1548174029449 , 34.53310339538838 , 951.1600165479076
20240323_184700 , 18.24605707079172 , 34.510087479401555 , 951.1869626814962
20240323_184800 , 18.23591932526324 , 34.45462572830261 , 951.3070863568255
20240323_184900 , 18.681981229805388 , 33.83331294138837 , 951.3183751553505
20240323_185000 , 19.016529137268662 , 33.29540571522825 , 951.2992885983417
20240323_185100 , 19.305457895767177 , 32.801730363316715 , 951.3205867421013
20240323_185200 , 19.487939704122255 , 32.45375902427323 , 951.3196296073972
20240323_185300 , 19.44231921667233 , 32.84452338864852 , 951.3063422135849
20240323_185400 , 19.38149193674326 , 32.672571645631926 , 951.3247161436498
20240323_185500 , 19.28011322999373 , 32.99704028024717 , 951.4184645579718
20240323_185600 , 19.05201156545081 , 34.07988619562886 , 951.5141344317584
20240323_185700 , 19.092562929406995 , 34.252036346348675 , 951.4117486153327
20240323_185800 , 19.61466340406332 , 32.97050096659731 , 951.4528094838267
20240323_185900 , 19.42204345203936 , 32.984102094025204 , 951.4929807268613
20240323_190000 , 19.13311431198963 , 33.255044998095514 , 951.5799870749689
20240323_190100 , 18.92528867314104 , 33.46345076798999 , 951.4348965282431
20240323_190200 , 18.712394623551518 , 33.68837494479777 , 951.5256521950068
20240323_190300 , 18.540052197524346 , 33.879276794424506 , 951.4598909573426
20240323_190400 , 18.43867445702199 , 33.9414661771662 , 951.5531630422888
20240323_190500 , 18.327159076929092 , 34.02039427349433 , 951.4421472972525
20240323_190600 , 18.24605707079172 , 34.10453660292294 , 951.5383018048617
20240323_190700 , 18.1548174029449 , 34.1220846789004 , 951.430237659759
20240323_190800 , 18.09905987457023 , 34.17260629479595 , 951.4287455088624
20240323_190900 , 18.32209019936272 , 34.07045648202778 , 951.434643712162
20240323_191000 , 18.63129226351157 , 33.92838176481334 , 951.6219758025525
20240323_191100 , 18.905013027251698 , 33.50263820145472 , 951.4590098463514
20240323_191200 , 19.13311431198963 , 33.160380944880046 , 951.5799870749689
20240323_191300 , 19.315595764113823 , 32.896311078686026 , 951.4167935725507
20240323_191400 , 19.45752604320296 , 32.69942024321657 , 951.5725292938396
20240323_191500 , 19.315595764113823 , 32.69016739034033 , 951.3626491993014
20240323_191600 , 19.14325216054567 , 32.9820550751947 , 951.4325952394329
20240323_191700 , 19.00132238669903 , 33.139715380526354 , 951.6015013397315
20240323_191800 , 18.773221442475915 , 33.40954679382061 , 951.6156701028922
20240323_191900 , 18.681981229805388 , 33.57746230555602 , 951.5617794149331
20240323_192000 , 18.550189977977425 , 33.740168618701034 , 951.6371311540829
20240323_192100 , 18.453881110675866 , 33.98022251233243 , 951.6838150149373
20240323_192200 , 18.43867445702199 , 34.085984546038475 , 951.7424050639504
20240323_192300 , 18.352503469126532 , 34.159072188075314 , 951.777004917765
20240323_192400 , 18.337296832934953 , 34.303694403623744 , 951.700425988563
20240323_192500 , 18.271401439706096 , 34.58764056696713 , 951.8190737564939
20240323_192600 , 18.317021322087385 , 34.68169653743783 , 951.8866389303042
20240323_192700 , 18.357572348439135 , 34.71469229006653 , 951.7845111006966
20240323_192800 , 18.367710107937455 , 34.81462063232928 , 951.8806184749351
20240323_192900 , 18.362641228042776 , 34.731318765250194 , 951.9001430337349
20240323_193000 , 18.327159076929092 , 34.842728685455285 , 951.9016536716347
20240323_193100 , 18.317021322087385 , 34.94836360063877 , 951.9947570491189
20240323_193200 , 18.220712709153304 , 35.09351883157598 , 951.9872315508015
20240323_193300 , 18.50963886315003 , 34.70785797785249 , 952.0908211884056
20240323_193400 , 18.783359249704517 , 34.29951165714718 , 952.1175657809924
20240323_193500 , 19.021598054707283 , 33.84086082774199 , 952.1185777719409
20240323_193600 , 19.209148204536177 , 33.36551932517769 , 952.0714194802654
20240323_193700 , 19.34094044007361 , 32.99070127929702 , 952.076964275463
20240323_193800 , 19.462594985961914 , 32.69935258305104 , 952.0674439719357
20240323_193900 , 19.57918074974441 , 32.380007609519474 , 952.0774476437628
20240323_194000 , 19.685628755483776 , 32.116383233746184 , 952.0724055455904
20240323_194100 , 19.766732084099203 , 31.903205380905728 , 952.1923830819744
